Luminosity,GlobalTemperature,WhitePopulation,BlackPopulation
1.8,22.507621213515204,841,0
1.8,22.507532285409543,841,0
1.8,22.507488547008833,841,0
1.8,22.544942456000832,840,0
1.8,22.5261940644312,841,0
1.8,22.51681992440241,841,0
1.8,22.512132878786893,841,0
1.8,22.50978969244404,841,0
1.8,22.50861823842822,841,0
1.8,22.508032458993448,841,0
1.8,22.50773945300757,841,0
1.8,22.507592843774873,841,0
1.8,22.5075194638711,841,0
1.8,22.507482726897955,841,0
1.8,22.507464331162453,841,0
1.8,22.507455118252388,841,0
1.8,22.507450503766346,841,0
1.8,22.50744819233753,841,0
1.8,22.507447034479664,841,0
1.8,22.536021504218738,840,0
1.8,22.519775009668717,841,0
1.8,22.513104412547758,841,0
1.8,22.5101235862784,841,0
1.8,22.50873378033936,841,0
1.8,22.508071241642483,841,0
1.8,22.507751387399942,841,0
1.8,22.507595753537778,841,0
1.8,22.50751962558686,841,0
1.8,22.50748224805349,841,0
1.8,22.507463845215153,841,0
1.8,22.507454765211605,841,0
1.8,22.50745027757529,841,0
1.8,22.507448056633862,841,0
1.8,22.507446956265824,841,0
1.8,22.507446410584595,841,0
1.8,22.507446139766934,841,0
1.8,22.507446005273263,841,0
1.8,22.507445938442952,841,0
1.8,22.507445905218468,841,0
1.8,22.507445888693884,841,0
1.8,22.50744588047206,841,0
1.8,22.50744587637991,841,0
1.8,22.507445874342597,841,0
1.8,22.507445873327995,841,0
1.8,22.507445872822633,841,0
1.8,22.536020922321566,840,0
1.8,22.519774718193343,841,0
1.8,22.513104266551757,841,0
1.8,22.51012351315431,841,0
1.8,22.508733743716093,841,0
1.8,22.508071223301226,841,0
1.8,22.507751378215062,841,0
1.8,22.507595748938456,841,0
1.8,22.507519623283972,841,0
1.8,22.507482246900526,841,0
1.8,22.50746384463797,841,0
1.8,22.507454764922713,841,0
1.8,22.507450277430717,841,0
1.8,22.50744805656154,841,0
1.8,22.50744695622971,841,0
1.8,22.507446410566562,841,0
1.8,22.507446139757917,841,0
1.8,22.507446005268783,841,0
1.8,22.507445938440778,841,0
1.8,22.507445905217363,841,0
1.8,22.507445888693336,841,0
1.8,22.50744588047179,841,0
1.8,22.50744587637981,841,0
1.8,22.507445874342523,841,0
1.8,22.507445873327963,841,0
1.8,22.50744587282261,841,0
1.8,22.536020922321555,840,0
1.8,22.519774718193343,841,0
1.8,22.513104266551757,841,0
1.8,22.5101235131543,841,0
1.8,22.508733743716093,841,0
1.8,22.508071223301226,841,0
1.8,22.507751378215062,841,0
1.8,22.507595748938456,841,0
1.8,22.507519623283972,841,0
1.8,22.507482246900526,841,0
1.8,22.50746384463797,841,0
1.8,22.507454764922713,841,0
1.8,22.507450277430717,841,0
1.8,22.50744805656154,841,0
1.8,22.50744695622971,841,0
1.8,22.507446410566562,841,0
1.8,22.507446139757917,841,0
1.8,22.507446005268783,841,0
1.8,22.507445938440778,841,0
1.8,22.507445905217363,841,0
1.8,22.507445888693336,841,0
1.8,22.50744588047179,841,0
1.8,22.50744587637981,841,0
1.8,22.507445874342523,841,0
1.8,22.507445873327963,841,0
1.8,22.50744587282261,841,0
1.8,22.536020922321555,840,0
1.8,22.519774718193343,841,0
1.8,22.513104266551757,841,0
1.8,22.5101235131543,841,0
1.8,22.508733743716093,841,0
1.8,22.508071223301226,841,0
1.8,22.507751378215062,841,0
1.8,22.507595748938456,841,0
1.8,22.507519623283972,841,0
1.8,22.507482246900526,841,0
1.8,22.50746384463797,841,0
1.8,22.507454764922713,841,0
1.8,22.507450277430717,841,0
1.8,22.50744805656154,841,0
1.8,22.50744695622971,841,0
1.8,22.507446410566562,841,0
1.8,22.507446139757917,841,0
1.8,22.507446005268783,841,0
1.8,22.507445938440778,841,0
1.8,22.507445905217363,841,0
1.8,22.507445888693336,841,0
1.8,22.50744588047179,841,0
1.8,22.50744587637981,841,0
1.8,22.507445874342523,841,0
1.8,22.507445873327963,841,0
1.8,22.50744587282261,841,0
1.8,22.536020922321555,840,0
1.8,22.519774718193343,841,0
1.8,22.513104266551757,841,0
1.8,22.5101235131543,841,0
1.8,22.508733743716093,841,0
1.8,22.508071223301226,841,0
1.8,22.507751378215062,841,0
1.8,22.507595748938456,841,0
1.8,22.507519623283972,841,0
1.8,22.507482246900526,841,0
1.8,22.50746384463797,841,0
1.8,22.507454764922713,841,0
1.8,22.507450277430717,841,0
1.8,22.50744805656154,841,0
1.8,22.50744695622971,841,0
1.8,22.507446410566562,841,0
1.8,22.507446139757917,841,0
1.8,22.507446005268783,841,0
1.8,22.507445938440778,841,0
1.8,22.507445905217363,841,0
1.8,22.507445888693336,841,0
1.8,22.50744588047179,841,0
1.8,22.50744587637981,841,0
1.8,22.507445874342523,841,0
1.8,22.507445873327963,841,0
1.8,22.50744587282261,841,0
1.8,22.536020922321555,840,0
1.8,22.519774718193343,841,0
1.8,22.513104266551757,841,0
1.8,22.5101235131543,841,0
1.8,22.508733743716093,841,0
1.8,22.508071223301226,841,0
1.8,22.507751378215062,841,0
1.8,22.507595748938456,841,0
1.8,22.507519623283972,841,0
1.8,22.507482246900526,841,0
1.8,22.50746384463797,841,0
1.8,22.507454764922713,841,0
1.8,22.507450277430717,841,0
1.8,22.50744805656154,841,0
1.8,22.50744695622971,841,0
1.8,22.507446410566562,841,0
1.8,22.507446139757917,841,0
1.8,22.507446005268783,841,0
1.8,22.507445938440778,841,0
1.8,22.507445905217363,841,0
1.8,22.507445888693336,841,0
1.8,22.50744588047179,841,0
1.8,22.50744587637981,841,0
1.8,22.507445874342523,841,0
1.8,22.507445873327963,841,0
1.8,22.50744587282261,841,0
1.8,22.536020922321555,840,0
1.8,22.519774718193343,841,0
1.8,22.513104266551757,841,0
1.8,22.5101235131543,841,0
1.8,22.508733743716093,841,0
1.8,22.508071223301226,841,0
1.8,22.507751378215062,841,0
1.7975,22.507595748938456,841,0
1.795,22.45748486887801,841,0
1.7925,22.38232572306996,841,0
1.79,22.294572211945276,841,0
1.7875,22.20045132679595,841,0
1.785,22.10307646298795,841,0
1.7825,22.004004161201408,841,0
1.78,21.90401251110066,841,0
1.7775,21.80349036646946,841,0
1.775,21.702631958262224,841,0
1.7725,21.60153420343007,841,0
1.77,21.500245360314278,841,0
1.7675,21.398789356764368,841,0
1.765,21.297177954379837,841,0
1.7625,21.195416830707817,841,0
1.76,21.093508620375854,841,0
1.7575,20.99145443566633,841,0
1.755,20.889254626810196,841,0
1.7525,20.786909162129085,841,0
1.75,20.712992867856503,840,0
1.7475,20.594109120159747,841,0
1.745,20.48465455558815,841,0
1.7425,20.378742724754368,841,0
1.74,20.274274504531057,841,0
1.7375,20.17038574338436,841,0
1.735,20.066691446225153,841,0
1.7325,19.96301272882499,841,0
1.73,19.859264451699637,841,0
1.7275,19.755405430981085,841,0
1.725,19.65141545995032,841,0
1.7225,19.547284453502325,841,0
1.72,19.44300724584861,841,0
1.7175,19.338581074007124,841,0
1.715,19.234004352593324,841,0
1.7125,19.129276074516266,841,0
1.71,19.024395516809097,841,0
1.7075,18.919362095842637,841,0
1.705,18.814175295912488,841,0
1.7025,18.7088346339541,841,0
1.7,18.603339642080552,841,0
1.6975,18.49768985892696,841,0
1.695,18.391884825356925,841,0
1.6925,18.285924082321483,841,0
1.69,18.179807169795506,841,0
1.6875,18.111009101322253,840,0
1.685,18.01481102476992,840,0
1.6825,17.882597873243963,841,0
1.68,17.764374575315166,841,0
1.6775,17.65203990598487,841,0
1.675,17.542345579063063,841,0
1.6725,17.433833928089307,841,0
1.67,17.325816164826758,841,0
1.6675,17.217959039571177,841,0
1.665,17.11009937131254,841,0
1.6625,17.03541613232669,840,0
1.66,16.909640273583783,841,0
1.6575,16.793342833161685,841,0
1.655,16.681148814199645,841,0
1.6525,16.57077802283384,841,0
1.65,16.494452680335794,840,0
1.6475,16.367454131931773,841,0
1.645,16.25013760600734,841,0
1.6425,16.13702325032582,841,0
1.64,16.025779544045495,841,0
1.6375,15.91534397609512,841,0
1.635,15.805214483506697,841,0
1.6325,15.69514905325452,841,0
1.63,15.61828907650876,840,0
1.6275,15.490347345237772,841,0
1.625,15.442620998265534,839,0
1.6225,15.329288413036426,840,0
1.62,15.28407770409748,838,0
1.6175,15.171056367728418,839,0
1.615,15.02248443050386,840,0
1.6125,14.892491980367936,840,0
1.61,14.775888741985836,840,0
1.6075,14.625708605996191,841,0
1.605,14.494777285257028,841,0
1.6025,14.477257528086096,838,0
1.6,14.306607650921842,841,0
1.5975,14.236820790466792,839,0
1.595,14.107079674495319,840,0
1.5925,13.953015070978628,841,0
1.59,13.895126079277269,839,0
1.5875,13.734629677388371,841,0
1.585,13.598135444452817,841,0
1.5825,13.510835641817355,840,0
1.58,13.447922476518006,839,0
1.5775,13.392448944328324,838,0
1.575,13.240290724880337,840,0
1.5725,13.067038849090919,841,0
1.57,12.960372965982327,840,0
1.5675,12.883009218404245,839,0
1.565,12.902535692677064,836,0
1.5625,12.738576509895767,839,0
1.56,12.598783094717112,839,0
1.5575,12.616593769259786,835,0
1.555,12.420018219271247,839,0
1.5525,12.27351452680684,839,0
1.55,12.177744703972717,838,0
1.5475,12.03432881408119,839,0
